Store,Category,Item,Description, Price,Qty,Magic
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",12.99,0,No
Arcadia Bay,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,12.99,41,No
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",11.99,21,No
Arcadia Bay,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli. Lowers visible presence of customer for 10 minutes.,13.99,71,Yes
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapenos, and pixelated salsa.",13.99,42,No
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",15.99,80,No
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,5.99,96,No
Arcadia Bay,Desserts,Cheat Code Chocolate Cake,Rich chocolate cake with chips and candies. Restores 20 Health.,17.99,0,Yes
Arcadia Bay,Drinks,Health Potion Smoothie ++,A blend of red fruits that restores your max health.,20.99,71,Yes
Arcadia Bay,Drinks,Yellow Mana Milkshake,A peach milkshake that restores your max energy.,20.99,59,Yes
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,8.99,1,No
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,8.99,34,No
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,10.99,51,Yes
Arcadia Bay,Desserts,Banana Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",6.99,68,No
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,5.99,99,No
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top. Respawn Anchor Included!",20.99,31,Yes
Arcadia Bay,Desserts,Power Pellet Pops ++,Fruit-infused ice pops. Restores 20 Mana.,17.99,0,Yes
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,10.99,51,Yes
Arcadia Bay,Drinks,Green Mana Milkshake,A blueberry milkshake that restores your energy.,10.99,34,Yes
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,9.99,63,No
Arcadia Bay,Drinks,Max XP Soda,A range of sodas in multiple epic flavors. Now with Max XP Boost!,20.99,81,Yes
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,8.99,82,No
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,8.99,94,No
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,8.99,5,No
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",12.99,71,No
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,12.99,0,No
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",11.99,82,No
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli. Lowers visible presence of customer for 10 minutes.,13.99,22,Yes
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapenos, and pixelated salsa.",13.99,57,No
